,Address,Area,City,HomeType,isNew,Latitude,Longitude,PostalCode,Price,ID,PaymentOnAccount,DistanceToShopping,DistanceToTransportation,DistanceToSchool,DistanceToForest,DistanceToWater,Balcony,Floors,Rooms,Toilets,Connection,LivingArea,YearOfConstruction,EstateValue,EnergyRating,Level,GroundArea,LandValue,Sewers,Basement,PriceDevelopment,Accessories,Heating,Windows,YearOfValuation,Exterior,NetOwnerFee,GrossOwnerFee
305,"Jellingegade 5, 2. th.",63.0,København Ø,Ejerlejlighed,False,55.706506409145405,12.579087578582401,2100,2.995.000 ,1260000111,900  kr.,10  m,350  m,1.500  m,,,,1,1,,,81  m2,,,,2,,,,,,,,,,,,
306,"Lyngbyvej 32C, 8. mf.",64.0,København Ø,Ejerlejlighed,False,55.7094372897176,12.562338246012,2100,1.915.000 ,127F00212,850  kr.,400  m,700  m,750  m,,,,1,4,,,86  m2,2020,,,,,,,,,,,,,,,
307,"Langøgade 15, 3. th., København Ø",64.0,København Ø,Ejerlejlighed,False,55.708697900766495,12.568853134128801,2100,2.830.000 ,162W00694,700  kr.,400  m,700  m,750  m,,,,1,4,,,90  m2,2020,,,,,,,,,,,,,,,
308,"Århusgade 83, 5. th.",64.0,København Ø,Ejerlejlighed,False,55.706654561674206,12.584139155727199,2100,3.595.000 ,148B00128,950  kr.,400  m,700  m,750  m,,,,1,4,,,90  m2,2020,,,1,,,,,,,,,,,,
335,"Silkeborggade 21, 1. th.",75.0,København Ø,Ejerlejlighed,True,55.7053724399496,12.584636975836,2100,3.495.000 ,1260000073,,110  m,260  m,1.200  m,,160  m,Yes,,3,1,Individuel tilslutning,99  m2,2006,2.450.000,C,1,,515.100,,,0%,emhætte  - fra 2006 indbygningsovn  - fra 2006 komfur glaskeramisk  - fra 2006 køle/fryseskab - fra 2006  vaskemaskine  - fra 2006Indbygget skab på begge værelser medfølger,,Termo,2018,Built-up,16.400  , 14.359  kr.
336,"Svendborggade 14, 2. th.",80.0,København Ø,Ejerlejlighed,False,55.708738688183004,12.583391031218099,2100,3.895.000 ,1260000090,,500  m,500  m,,,,Yes,1,3,1,,92  m2,2017,2.000.000,A15,5,,346.000,,,-3%,"Køle-/Fryseskab (Bosch), Ovn (Bosch), Kogeplader (Bosch), Opvaskemaskine (Bosch), Emhætte (Elica), Tørretubmler (Bosch), Vaskemaskine (Bosch).",,Termo,2018,Mursten,14.295  , 12.514  kr.
337,Vangehusvej 6B,76.0,København Ø,Ejerlejlighed,False,55.7202629315839,12.5757849397776,2100,4.495.000 ,1270000029,,170  m,90  m,1.100  m,,450  m,No,1,4,1,Individuel tilslutning,91  m2,1914,1.650.000,D,4,,154.400,,,0%,"Gorenje  emhætte  - fra 2016 Siemens  indbygningsovn  - fra 2018Siemens  komfur glaskeramisk  - fra 2018 Bosch  køle/fryseskab  - Siemens  opvaskemaskine  - fra 2017LG, kombi vaskemaskine og tørretumbler - fra 2018",,Termo,2018,mursten,15.629  , 13.683  kr.
338,"Jellingegade 7, 2. tv.",75.0,København Ø,Ejerlejlighed,False,55.706619592284,12.5790883820846,2100,3.995.000 ,1260000021,,,,,,,Yes,1,3,1,Individuel tilslutning,92  m2,2010,1.850.000,B,5,,415.600,,,-3%,Indesit vaske og tørremaskine (kombi) - årgang 2010Scholtés opvaskemaskine - årgang 2010Scholtés køle-/fryseskab - årgang 2010Scholtés indbygningsovn - årgang 2010Scholtés kogeplade - årgang 2010Exhausto emhætte - årgang 2010,,Termoruder,2018,Metalplader,12.371  , 10.829  kr.
339,Vangehusvej 6B,76.0,København Ø,Ejerlejlighed,False,55.7202629315839,12.5757849397776,2100,4.495.000 ,1290000019,,,,,,,Yes,1,3,1,Individuel tilslutning,92  m2,2007,1.800.000,B,2,,351.700,,,0%,Siemens tørretumbler - årgang 2007Siemens vaskemaskine - årgang 2017Siemens opvaskemaskine - årgang 2007Siemens køle-/fryseskab - årgang 2007Siemens indbygningsovn - årgang 2007Siemens kogeplade - årgang 2007Exhausto emhætte - årgang 2007Medfølgende klædeskab på det lille værelse.,,Termovinduer,2018,Andet materiale,13.528  , 11.842  kr.
375,"Rosenvængets Hovedvej 46, st.. 1.",88.0,København Ø,Ejerlejlighed,False,55.70142187249021,12.5872548828688,2100,4.800.000 ,1260000089,950  kr.,400  m,700  m,750  m,,,,1,4,,,93  m2,2020,,,1,,,,,,,,,,,,
376,"Sønderborggade 4, 5. tv.",81.0,København Ø,Ejerlejlighed,False,55.6969422130001,12.5849276937574,2100,3.695.000 ,1260000099,1.100  kr.,150  m,300  m,1.800  m,,,,1,4,,,91  m2,2019,,,4,,,,,,,,,,,,
377,"Rønnegade 10, st.. th.",89.0,København Ø,Ejerlejlighed,False,55.7073044120439,12.5577604167541,2100,2.850.000 ,127E00042,1.000  kr.,400  m,700  m,750  m,,,,1,4,,,98  m2,2020,,,1,,,,,,,,,,,,
424,"Rosenvængets Hovedvej 28, 1. tv.",91.0,København Ø,Ejerlejlighed,False,55.7012643067991,12.5861119844182,2100,4.750.000 ,1260000132,1.050  kr.,400  m,700  m,750  m,,,,1,4,,,100  m2,2020,,,4,,,,,,,,,,,,
425,Møllegårdsvej 2,94.0,København Ø,Ejerlejlighed,False,55.720362144586296,12.549416261444799,2100,4.295.000 ,1270000066,1.000  kr.,400  m,700  m,750  m,,,,1,4,,,95  m2,2020,,,4,,,,,,,,,,,,
426,"H.C. Lumbyes Gade 62, 2.",98.0,København Ø,Andelsbolig,False,55.715449835435294,12.5727567942545,2100,2.495.000 ,1270000054,1.100  kr.,,110  m,110  m,,,Yes,1,3,,,91  m2,2020,,,2,,,,,,,,,,,,
427,"Strandvejen 69, 1.",93.0,København Ø,Ejerlejlighed,False,55.71836523294121,12.576750000010001,2100,3.695.000 ,1270000022,1.000  kr.,400  m,700  m,750  m,,,,1,4,,,100  m2,2020,,,5,,,,,,,,,,,,
428,"Strandboulevarden 99, 3. th.",99.0,København Ø,Ejerlejlighed,False,55.707515332480796,12.585379639946899,2100,4.995.000 ,1260000014,1.050  kr.,800  m,500  m,450  m,,,,1,4,,,91  m2,2017,,A15,2,,,,,,,,,,,,
429,"Vennemindevej 53, 1. th.",100.0,København Ø,Ejerlejlighed,False,55.7126283469838,12.5688231022893,2100,4.125.000 ,127E00025,1.100  kr.,,110  m,110  m,,,Yes,1,3,,,91  m2,2020,,,3,,,,,,,,,,,,
465,"Livjægergade 31, 4. tv.",107.0,København Ø,Ejerlejlighed,True,55.69876226643001,12.586348005910999,2100,5.495.000 ,1260000188,1.200  kr.,,,,,,,1,4,1,,102  m2,2019,,,3,,,,,,,,,,,,
466,"Æbeløgade 23, 2. th.",107.0,København Ø,Ejerlejlighed,True,55.7119291827752,12.560658974819301,2100,4.095.000 ,1270000094,1.100  kr.,900  m,650  m,450  m,,,,1,3,,,102  m2,2014,,,1,,,,,,,,,,,,
467,"Horserødvej 22, 1.",103.0,København Ø,Villalejlighed,False,55.7218745620411,12.5518857382073,2100,4.595.000 ,1270000080,1.050  kr.,400  m,600  m,500  m,,,,1,4,1,,102  m2,2019,,A15,,,,,,,,,,,,,
468,"Gustav Adolfs Gade 10, 2. th.",103.0,København Ø,Ejerlejlighed,False,55.702543561966,12.5790655463516,2100,6.198.000 ,1260000139,1.100  kr.,700  m,290  m,450  m,,,,1,3,,,102  m2,2014,,,2,,,,,,,,,,,,
469,"Hornemansgade 1A, 3. th.",102.0,København Ø,Ejerlejlighed,False,55.714214296658795,12.5768077816047,2100,4.995.000 ,1270000056,1.100  kr.,800  m,500  m,450  m,,,,1,4,,,102  m2,2017,,A15,,,,,,,,,,,,,
470,"Pakhusvej 10, 10. th.",106.0,København Ø,Ejerlejlighed,False,55.6968768919784,12.593983474032399,2100,6.995.000 ,160R00262,1.200  kr.,800  m,500  m,450  m,,,,1,4,,,103  m2,2017,,A15,2,,,,,,,,,,,,
471,"Jagtvej 187, 4. th.",102.0,København Ø,Ejerlejlighed,False,55.7075997187181,12.5682140022173,2100,4.995.000 ,1270000048,1.200  kr.,,,,,,,1,4,,,103  m2,,,,2,,,,,,,,,,,,
472,"Willemoesgade 91, 5. th.",102.0,København Ø,Ejerlejlighed,False,55.6998477931125,12.590778532865698,2100,5.250.000 ,126A00846,1.100  kr.,800  m,500  m,450  m,,,,1,4,,,103  m2,2017,,A15,,,,,,,,,,,,,
473,"Indiakaj 5, 5. tv.",109.0,København Ø,Ejerlejlighed,False,55.6955564241162,12.5959012702726,2100,6.250.000 ,1260000016,950  kr.,400  m,700  m,750  m,,,,1,4,,,103  m2,2020,,,1,,,,,,,,,,,,
474,"Strandboulevarden 42, 3. tv.",105.0,København Ø,Ejerlejlighed,False,55.7005535003355,12.5899143953405,2100,5.095.000 ,1260000011,1.200  kr.,,,,,,,1,4,,,103  m2,,,A15,3,,,,,,,,,,,,
496,"A.L. Drewsens Vej 10, 1. tv.",113.0,København Ø,Ejerlejlighed,False,55.701708430748795,12.582966837723301,2100,5.975.000 ,1260000081,1.400  kr.,,,,,,Yes,1,4,1,,110  m2,2018,,,3,,,,,,,,,,,,
497,"Randersgade 47, 4.",118.0,København Ø,Andelsbolig,False,55.705475142736596,12.580572589127,2100,4.909.699 ,126B00307,1.100  kr.,,,,,,Yes,,3,1,,102  m2,2012,,A10,2,,,,,,,,,,,,
522,"Solvænget 1, st.. th.",130.0,København Ø,Ejerlejlighed,False,55.7189453094215,12.5775388817984,2100,5.595.000 ,1270000074,1.300  kr.,1.400  m,300  m,1.800  m,,,Yes,1,5,1,,106  m2,2019,,A20,6,,,,,,,,,,,,
